hhid,TFPRfei,TFPQfei
1.401001e6,,
1.401002e6,,
1.401003e6,,
1.401004e6,,
1.401005e6,,
1.401006e6,,
1.401007e6,,
1.401008e6,,
1.40101e6,,
1.401011e6,,
1.401012e6,,
1.401013e6,,
1.401014e6,,
1.401015e6,,
1.401016e6,,
1.401017e6,,
1.401018e6,,
1.401019e6,,
1.40102e6,,
1.401023e6,,
1.401024e6,,
1.401025e6,,
1.401026e6,,
1.401028e6,,
1.40103e6,,
1.401031e6,,
1.401033e6,,
1.401034e6,,
1.401035e6,,
1.401037e6,,
1.401038e6,,
1.401039e6,,
1.40104e6,,
1.401041e6,,
1.401043e6,,
1.401044e6,,
1.401045e6,,
1.401046e6,,
1.401048e6,,
1.401051e6,,
1.401052e6,,
1.401053e6,,
1.401055e6,,
1.401057e6,,
1.401059e6,,
1.40106e6,,
1.401061e6,,
1.401062e6,,
1.401065e6,,
1.401066e6,,
1.401067e6,,
1.401068e6,,
1.401071e6,,
1.401072e6,,
1.401073e6,,
1.401074e6,,
1.401075e6,,
1.401076e6,,
1.401077e6,,
1.401078e6,,
1.401079e6,,
1.40108e6,,
1.401081e6,,
1.401082e6,,
1.401083e6,,
1.401084e6,,
1.401085e6,,
1.401087e6,,
1.401088e6,,
1.401089e6,,
1.401091e6,,
1.401092e6,,
1.401093e6,,
1.401095e6,,
1.401096e6,,
1.401097e6,,
1.401098e6,,
1.401101e6,,
1.401102e6,,
1.401103e6,,
1.401104e6,,
1.401105e6,,
1.401107e6,,
1.401108e6,,
1.401109e6,,
1.40111e6,,
1.401111e6,,
1.401112e6,,
1.401113e6,,
1.401114e6,,
1.401115e6,,
1.401116e6,,
1.401117e6,,
1.401118e6,,
1.401119e6,,
1.40112e6,,
1.401121e6,,
1.401122e6,,
1.401123e6,,
1.401124e6,,
1.401125e6,,
1.401126e6,,
1.401127e6,,
1.402002e6,0.1656577,0.18287908
1.402004e6,0.1427826,0.15759158
1.402005e6,0.11492445,0.13927351
1.402006e6,0.3979641,0.34685358
1.402007e6,0.13314685,0.16886067
1.402008e6,,
1.402009e6,0.17171168,0.17359485
1.40201e6,0.20027727,0.22820683
1.402014e6,0.15661617,0.16132486
1.402017e6,0.2883546,0.23438576
1.402018e6,0.16577709,0.17084792
1.402023e6,0.30520648,0.25417596
1.402025e6,0.19814359,0.20021011
1.402026e6,0.3483601,0.28260306
1.402027e6,0.13644311,0.14207578
1.402032e6,0.13582303,0.17683421
1.402033e6,0.36518466,0.280375
1.402034e6,,
1.402035e6,,
1.402036e6,0.19748507,0.21301793
1.402037e6,0.20405911,0.21763463
1.402041e6,0.1134833,0.12879555
1.402042e6,0.18038617,0.19114389
1.402047e6,0.14718081,0.15566605
1.40205e6,0.12892759,0.15351428
1.402053e6,0.1382779,0.22173727
1.402054e6,,
1.402055e6,0.1593304,0.1670137
1.402062e6,0.21794039,0.21999137
1.402063e6,0.22615701,0.20917493
1.402065e6,0.14614032,0.14850977
1.402066e6,0.16903223,0.2039513
1.402075e6,0.1346405,0.15126921
1.402076e6,0.14428386,0.16156165
1.402078e6,0.24275257,0.2530344
1.402079e6,0.2092985,0.20156789
1.402082e6,0.12591429,0.15595908
1.402083e6,0.14051536,0.22556525
1.402085e6,0.2372498,0.19823653
1.402086e6,0.11606723,0.14285643
1.402088e6,0.33263156,0.2925174
1.402089e6,0.24377234,0.25119326
1.40209e6,0.115778886,0.15095887
1.402091e6,0.24838012,0.199907
1.402092e6,0.31658602,0.27818292
1.402094e6,0.17864206,0.16972782
1.402096e6,0.13131289,0.16186649
1.403001e6,,
1.403002e6,0.5872102,0.6799921
1.403003e6,1.7461122,1.2070994
1.403004e6,1.0030708,0.9865536
1.403005e6,0.91558415,0.5787509
1.403006e6,1.2922194,0.93148756
1.403007e6,0.9281901,1.0388167
1.403008e6,0.819362,0.60857403
1.403009e6,0.25240397,0.35813805
1.40301e6,0.68378156,0.91000766
1.403011e6,2.4948769,2.2854414
1.403012e6,0.9067491,1.1380644
1.403013e6,2.2416186,2.1121583
1.403014e6,1.561273,1.2002103
1.403015e6,0.5756865,0.70885706
1.403016e6,2.0004654,1.363584
1.403017e6,1.1069845,1.028781
1.403018e6,3.0936773,1.937326
1.403019e6,3.7025723,2.3112023
1.40302e6,1.6458942,1.1808187
1.403021e6,0.40222585,0.5708007
1.403022e6,1.4767833,1.1455736
1.403023e6,1.8449024,1.3929818
1.403024e6,1.7861949,1.2939515
1.403025e6,0.45518368,0.6798309
1.403026e6,1.6683104,1.4185754
1.403027e6,0.7182529,0.9108676
1.403028e6,1.1687825,0.88522077
1.403029e6,1.6926521,1.36531
1.40303e6,0.6225525,0.79074615
1.403031e6,0.6795478,0.6184289
1.403032e6,1.3958696,0.80618954
1.403033e6,0.66357976,0.8648001
1.403034e6,0.7870277,0.8791038
1.403035e6,1.5673481,1.2619346
1.403036e6,0.6809905,0.78405476
1.403037e6,0.7029186,0.6954302
1.403038e6,1.3593401,0.8860625
1.403039e6,1.0700266,0.9883725
1.40304e6,1.3742917,1.50364
1.403041e6,0.55418175,0.6560907
1.403042e6,0.7344804,1.0808294
1.403043e6,2.0219784,1.7178823
1.403044e6,1.5926893,1.7390484
1.403045e6,1.5270553,1.0109296
1.403046e6,,
1.403047e6,0.850468,0.88609505
1.403048e6,1.1963278,1.1379985
1.403049e6,0.3798046,0.81945974
1.40305e6,1.0619202,1.407529
1.403051e6,1.052307,1.0754659
