hhid,year,TFPRcs,TFPQcs
1.402001e6,1995.0,0.07501473,0.10303958
1.402001e6,1996.0,0.097023316,0.12867464
1.402001e6,1997.0,0.11117587,0.14561436
1.402001e6,1998.0,0.4001605,0.35953414
1.402001e6,2001.0,0.052690428,0.08092261
1.402001e6,2002.0,0.10382123,0.15771472
1.402002e6,1993.0,0.17498346,0.19076745
1.402002e6,1995.0,0.1417361,0.18552333
1.402002e6,1996.0,0.10658727,0.117921025
1.402002e6,1997.0,0.085346654,0.10353837
1.402002e6,1998.0,0.1797401,0.17769462
1.402002e6,2000.0,0.07160769,0.08502273
1.402002e6,2001.0,0.08984497,0.12174044
1.402002e6,2002.0,0.11430418,0.1491206
1.402004e6,1993.0,0.110529885,0.16993304
1.402004e6,1995.0,0.118602805,0.15617558
1.402004e6,1997.0,0.07540996,0.09294346
1.402004e6,1998.0,0.17481962,0.22248957
1.402004e6,1999.0,0.09818523,0.11089764
1.402004e6,2000.0,0.058860105,0.08162478
1.402004e6,2001.0,0.1264299,0.12555215
1.402005e6,1993.0,0.17982501,0.18039934
1.402005e6,1995.0,0.08679533,0.12889215
1.402005e6,1996.0,0.09337306,0.13420016
1.402005e6,1997.0,0.106250755,0.14358006
1.402005e6,1998.0,0.1045517,0.13175842
1.402005e6,2002.0,0.18082744,0.2435373
1.402006e6,1993.0,0.1769412,0.18085147
1.402006e6,1995.0,0.416113,0.33502704
1.402007e6,1993.0,0.095894605,0.11733053
1.402007e6,1995.0,0.081064664,0.113008864
1.402007e6,1996.0,0.08133279,0.1141846
1.402007e6,1997.0,0.07350109,0.105588615
1.402007e6,1998.0,0.12765585,0.17060994
1.402007e6,1999.0,0.13493271,0.1709194
1.402007e6,2001.0,0.07247736,0.111124724
1.402007e6,2002.0,0.09074533,0.120868094
1.402009e6,1993.0,0.051379077,0.06999129
1.402009e6,1995.0,0.21421687,0.23690684
1.402009e6,1996.0,0.13694267,0.16525741
1.402009e6,1997.0,0.1600293,0.20164028
1.402009e6,1998.0,0.2296397,0.25626263
1.402009e6,1999.0,0.06329977,0.093972936
1.402009e6,2000.0,0.16476706,0.1424612
1.402009e6,2002.0,0.23134871,0.18193924
1.40201e6,1993.0,0.11983183,0.14642297
1.40201e6,1995.0,0.08217331,0.1211212
1.40201e6,1996.0,0.119648345,0.1549863
1.40201e6,1997.0,0.17560032,0.22458395
1.40201e6,1998.0,0.25222525,0.31829783
1.40201e6,1999.0,0.13705817,0.13932627
1.40201e6,2000.0,0.12794568,0.14099719
1.40201e6,2001.0,0.12043523,0.15157194
1.40201e6,2002.0,0.17237869,0.20518598
1.402012e6,1995.0,0.13409212,0.12323449
1.402012e6,1996.0,0.07243991,0.081885405
1.402012e6,1997.0,0.19869453,0.18186669
1.402012e6,1998.0,0.40706417,0.34126365
1.402012e6,1999.0,0.17626613,0.14357428
1.402012e6,2000.0,0.1658806,0.13894251
1.402013e6,1993.0,0.14969845,0.12937598
1.402013e6,1995.0,0.09596814,0.09773107
1.402013e6,1996.0,0.14463393,0.14322703
1.402013e6,1997.0,0.13043065,0.16526978
1.402013e6,1998.0,0.16776623,0.13700378
1.402013e6,1999.0,0.12585466,0.09640473
1.402013e6,2002.0,0.20300232,0.19748823
1.402014e6,1995.0,0.079673916,0.10977097
1.402014e6,1996.0,0.08101559,0.12021387
1.402014e6,1997.0,0.09853209,0.12837021
1.402014e6,1998.0,0.30820903,0.2972179
1.402014e6,2000.0,0.19494323,0.16277622
1.402014e6,2002.0,0.14455141,0.15440229
1.402015e6,1993.0,0.121915065,0.12357549
1.402015e6,1995.0,0.13789526,0.14318234
1.402015e6,1999.0,0.063372344,0.070584565
1.402015e6,2000.0,0.11239014,0.11288469
1.402016e6,1995.0,0.06063291,0.08168085
1.402017e6,1993.0,0.21108575,0.15336305
1.402017e6,1995.0,0.14409624,0.13242789
1.402017e6,1996.0,0.11477889,0.10257411
1.402017e6,1997.0,0.16258727,0.14604726
1.402017e6,1998.0,0.29512936,0.2759359
1.402017e6,2000.0,0.22445673,0.1869958
1.402017e6,2001.0,0.2112257,0.183976
1.402017e6,2002.0,0.31644645,0.29873267
1.402018e6,1993.0,0.12501526,0.12140491
1.402018e6,1996.0,0.10709874,0.14103878
1.402018e6,1997.0,0.21658413,0.20538749
1.402018e6,1998.0,0.2981467,0.31797624
1.402018e6,2000.0,0.12354694,0.1316466
1.402019e6,1993.0,0.117312744,0.14786361
1.402019e6,1995.0,0.12312495,0.1810441
1.402019e6,1996.0,0.08774315,0.13222225
1.402019e6,1997.0,0.04613528,0.06981463
1.402019e6,1998.0,0.07535233,0.09282264
1.402019e6,2000.0,0.06822214,0.0995222
1.402019e6,2001.0,0.065433584,0.09614987
1.40202e6,1993.0,0.071546786,0.09016935
1.40202e6,1996.0,0.0567536,0.081721574
1.40202e6,1997.0,0.0502419,0.074266344
1.40202e6,1998.0,0.11159974,0.12978153
1.40202e6,2001.0,0.053545978,0.073121995
1.40202e6,2002.0,0.10399376,0.13892691
1.402021e6,1995.0,0.11896919,0.10933663
1.402021e6,2002.0,0.31669506,0.26735857
1.402022e6,1998.0,0.16054484,0.14516124
1.402022e6,2000.0,0.102744564,0.08728705
1.402022e6,2002.0,0.2683813,0.26858026
1.402023e6,1993.0,0.23834004,0.21156098
1.402023e6,1995.0,0.31145617,0.2601646
1.402023e6,1996.0,0.37263542,0.3026814
1.402023e6,1997.0,0.36437875,0.32965833
1.402023e6,1998.0,0.35961315,0.34015647
1.402023e6,1999.0,0.09792561,0.08736305
1.402023e6,2000.0,0.10870094,0.09446396
1.402023e6,2001.0,0.12121474,0.11976371
1.402023e6,2002.0,0.18005213,0.17150088
1.402024e6,1995.0,0.041980036,0.08158291
1.402024e6,2000.0,0.13898128,0.116416596
1.402024e6,2001.0,0.1618338,0.17078087
1.402024e6,2002.0,0.18948515,0.1599723
1.402025e6,1993.0,0.1235602,0.12661448
1.402025e6,1995.0,0.12666544,0.15166838
1.402025e6,1996.0,0.21129647,0.25436598
1.402025e6,1997.0,0.08916014,0.10474372
1.402025e6,1998.0,0.2600716,0.25334767
1.402025e6,1999.0,0.061089914,0.08898801
1.402025e6,2000.0,0.11540037,0.11061838
1.402025e6,2001.0,0.19691944,0.19108263
1.402025e6,2002.0,0.16205724,0.15159988
1.402026e6,1993.0,0.2632473,0.23307896
1.402026e6,1995.0,0.26525417,0.2433253
1.402026e6,1996.0,0.09960412,0.1582724
1.402026e6,1997.0,0.8462979,0.5248127
1.402026e6,1998.0,0.3294727,0.16765776
1.402026e6,1999.0,0.18899724,0.19688046
1.402026e6,2000.0,0.3789845,0.225129
1.402026e6,2001.0,0.07887528,0.08776097
1.402026e6,2002.0,0.2526956,0.2676209
1.402027e6,1993.0,0.07784349,0.082902394
1.402027e6,1995.0,0.09564392,0.15030365
1.402027e6,1996.0,0.07986682,0.10145893
